"","x"
"100_g_at",-0.012713167528517
"1000_at",-0.307693174434937
"1001_at",0.208209033360282
"1002_f_at",0.139063429983945
"1003_s_at",0.0647965732650198
"1004_at",0.144311096138088
"1005_at",-0.445706605129825
"1006_at",0.527938455798982
"1007_s_at",-0.273775801921968
"1008_f_at",-0.115285096838418
"1009_at",0.0963054611026521
"101_at",0.109221566802604
"1010_at",0.111241560618645
"1011_s_at",-0.88508832545918
"1012_at",0.0311069242314339
"1013_at",0.132453350029182
"1014_at",-0.0109828743607752
"1015_s_at",0.174617091788361
"1016_s_at",0.0788995911370556
"1017_at",-0.0878706525017305
"1018_at",-0.0412724908053539
"1019_g_at",0.00094815644577384
"102_at",0.146735969335451
"1020_s_at",0.131026594232559
"1021_at",0.273944239608188
"1022_f_at",0.317789921377417
"1023_at",0.193177474020895
"1024_at",0.146631471963478
"1025_g_at",-0.0352644354950415
"1026_s_at",-0.0402048848408239
"1027_at",0.179263082414092
"1028_at",0.0591706686321585
"1029_s_at",0.21497660769556
"103_at",0.118191163258439
"1030_s_at",-0.110487688316395
"1031_at",0.446821500135316
"1032_at",0.0980387214557839
"1033_g_at",0.160335500453296
"1034_at",-0.588580919161243
"1035_g_at",-0.655110122793092
"1036_at",0.0988962386714776
"1037_at",0.00916155207241687
"1038_s_at",-0.351026206210032
"1039_s_at",-1.05325009079075
"104_at",0.123329518525766
"1040_s_at",-0.117851430362764
"1041_at",0.117351114812585
"1042_at",0.148361513690094
"1043_s_at",-0.0400072876254489
"1044_s_at",-0.0937699521013897
"1045_s_at",-0.513275513246333
"1046_at",-0.0879462445362162
"1047_s_at",-0.524362178571127
"1048_at",0.103743880414829
"1049_g_at",0.0878125018211025
"105_at",0.182103982310136
"1050_at",-0.0728508310980827
"1051_g_at",-0.247445811569978
"1052_s_at",-0.877229215261624
"1053_at",0.438243209642634
"1054_at",0.0652612306403064
"1055_g_at",0.311363502498759
"1056_s_at",0.236282646768525
"1057_at",-0.824740585311602
"1058_at",-0.276343003771789
"1059_at",0.133255684154632
"106_at",-0.200094974429798
"1060_g_at",0.240407209418263
"1061_at",0.155659638029713
"1062_g_at",0.0368105767910825
"1063_s_at",-0.124704294413865
"1064_at",-1.00454461606254
"1065_at",0.304225496013092
"1066_at",0.0681244683988309
"1067_at",0.0979162405303242
"1068_g_at",0.0630495582757078
"1069_at",-0.443761282434459
"107_at",0.149876514407055
"1070_at",0.212469886335356
"1071_at",0.370529641735328
"1072_g_at",0.356850710316261
"1073_at",0.184257771794941
"1074_at",0.0124373993878031
"1075_f_at",0.283393709449082
"1076_at",0.357907578154195
"1077_at",-0.0127368825604091
"1078_at",0.126421900079228
"1079_g_at",0.0182448923068614
"108_g_at",0.0854851144897353
"1080_s_at",0.308724082259678
"1081_at",0.290851824522049
"1082_at",-0.165508455258204
"1083_s_at",-0.00476067503687361
"1084_at",0.156883652093413
"1085_s_at",0.021064974051396
"1086_at",0.114165077730946
"1087_at",0.141988021715667
"1088_at",-0.116332351121803
"1089_i_at",0.113553942209146
"109_at",0.38309557874756
"1090_f_at",0.374420596247247
